time_local,city,temp_c,humidity,pressure,weather,wind_speed,air_pm2_5,air_pm10,air_co,air_no2,air_o3,air_aqi,uv_index
2026-07-01 01:48:38 AM BDT,"Dhaka, BD",27.95,84,1001,light rain,2.31,21.92,25.61,339.94,9.41,31.65,2,0
2026-07-01 03:23:35 AM BDT,"Dhaka, BD",27.74,84,1001,overcast clouds,2.47,22.07,25.67,349.29,9.76,29.33,2,0
2026-07-01 05:05:36 AM BDT,"Dhaka, BD",27.12,86,1001,overcast clouds,3.94,22.23,25.18,371.3,10.81,24.95,2,0
2026-07-01 08:56:15 AM BDT,"Dhaka, BD",30.45,68,1003,overcast clouds,4.61,20.46,24.33,353.35,8.82,30.28,2,6.292
2026-07-01 01:09:32 PM BDT,"Dhaka, BD",33.36,57,1001,overcast clouds,4.78,14.54,15.87,219.38,2.81,64.25,2,12.7195
2026-07-01 05:19:19 PM BDT,"Dhaka, BD",32.94,59,999,overcast clouds,5.31,14.65,15.87,231.18,3.57,56.67,2,0.7938
2026-07-01 08:23:38 PM BDT,"Dhaka, BD",29.58,72,1001,broken clouds,3.91,15.86,19.04,305.3,7.86,39.26,2,0
2026-07-01 11:09:05 PM BDT,"Dhaka, BD",28.3,77,1002,overcast clouds,4.13,16.87,20.09,306.36,6.87,36.74,2,0
2026-07-02 01:45:55 AM BDT,"Dhaka, BD",27.44,83,1002,overcast clouds,3.63,18.7,20.91,292.21,6.29,33.62,2,0
2026-07-02 03:22:39 AM BDT,"Dhaka, BD",27.4,83,1001,overcast clouds,3.71,19.64,21.68,290.44,6.22,32.91,2,0
2026-07-02 05:08:18 AM BDT,"Dhaka, BD",27.04,84,1001,overcast clouds,2.98,20.72,22.42,287.98,6.2,32.69,2,0
2026-07-02 08:46:39 AM BDT,"Dhaka, BD",30.38,68,1002,overcast clouds,4.15,20.51,23.37,287.46,6.35,37.86,2,5.779
2026-07-02 12:36:13 PM BDT,"Dhaka, BD",34.2,54,1000,overcast clouds,5.1,12.05,13.23,188.15,2.43,58.34,2,13.7456
2026-07-02 03:57:14 PM BDT,"Dhaka, BD",33.99,55,998,overcast clouds,5.01,8.35,9.49,180.71,2.89,52.81,1,3.6106
2026-07-02 06:08:34 PM BDT,"Dhaka, BD",31.63,66,999,overcast clouds,4.42,8.54,10.11,196.12,4.66,48.87,1,0.1549
2026-07-02 09:09:58 PM BDT,"Dhaka, BD",29.44,75,1002,broken clouds,4.49,15.43,18.2,199.83,3.53,56.53,2,0
2026-07-02 11:40:58 PM BDT,"Dhaka, BD",28.21,84,1002,broken clouds,3.74,19.81,23.2,208.75,3.99,54.04,2,0
2026-07-03 01:16:35 AM BDT,"Dhaka, BD",28.02,83,1002,overcast clouds,3.32,19.9,23.15,207.17,4.09,51.73,2,0
2026-07-03 02:58:50 AM BDT,"Dhaka, BD",27.64,86,1002,overcast clouds,3.35,19.23,22.28,206.21,4.4,46.13,2,0
2026-07-03 04:11:03 AM BDT,"Dhaka, BD",27.52,86,1001,overcast clouds,3.45,18.41,21.32,203.44,4.46,44.12,2,0
2026-07-03 06:01:03 AM BDT,"Dhaka, BD",27.61,86,1002,light rain,3.65,15.65,18.04,191.05,4.35,42.91,2,0.1839
2026-07-03 10:37:34 AM BDT,"Dhaka, BD",33.9,57,1002,overcast clouds,6.25,8.3,9.35,143.57,1.98,49.46,1,11.984
2026-07-03 01:57:47 PM BDT,"Dhaka, BD",32.37,62,999,overcast clouds,5,8.22,9.13,137.88,1.89,53.49,1,10.4545
2026-07-03 04:37:25 PM BDT,"Dhaka, BD",32.44,62,998,overcast clouds,5.9,6.01,7.17,144.56,3.16,47.25,1,1.9167
