time_local,city,temp_c,humidity,pressure,weather,wind_speed,air_pm2_5,air_pm10,air_co,air_no2,air_o3,air_aqi,uv_index
2026-05-01 01:12:31 AM BDT,"Dhaka, BD",23.12,85,1009,overcast clouds,4.57,4.35,6.66,179.1,3.16,24.52,1,0
2026-05-01 02:54:49 AM BDT,"Dhaka, BD",24.02,88,1007,haze,2.57,4.9,7.48,177.61,3.08,21.19,1,0
2026-05-01 03:53:02 AM BDT,"Dhaka, BD",22.65,86,1007,light rain,0.74,5.11,7.65,176.49,3.05,20.43,1,0
2026-05-01 04:49:01 AM BDT,"Dhaka, BD",24.02,94,1008,thunderstorm with rain,2.57,5.24,7.56,173.76,3.04,20.44,1,0
2026-05-01 05:47:56 AM BDT,"Dhaka, BD",24.02,94,1008,thunderstorm with rain,2.06,5.31,7.39,170.85,3.05,20.96,1,0.0788
2026-05-01 08:37:33 AM BDT,"Dhaka, BD",23.02,88,1009,haze,2.06,7.32,10.27,220.86,6.42,17.76,1,5.0889
2026-05-01 12:11:28 PM BDT,"Dhaka, BD",25.02,83,1007,haze,2.57,8.29,10.74,226.98,5.09,23.73,1,13.7805
2026-05-01 02:56:40 PM BDT,"Dhaka, BD",27.02,74,1005,haze,2.06,5.55,7.33,187.13,2.56,35.83,1,6.1323
2026-05-01 04:22:02 PM BDT,"Dhaka, BD",28.02,69,1004,haze,0.51,5.4,7.09,183.74,2.16,41.09,1,1.949
2026-05-01 05:55:07 PM BDT,"Dhaka, BD",27.02,74,1004,haze,2.57,5.28,7.11,181.04,3.33,40.59,1,0.128
2026-05-01 07:09:20 PM BDT,"Dhaka, BD",25.02,83,1005,haze,3.09,6.21,8.67,191.88,4.04,40.56,1,0
2026-05-01 08:50:36 PM BDT,"Dhaka, BD",24.02,83,1006,haze,3.09,30.9,46.94,518.39,17.25,25.4,3,0
2026-05-01 09:52:18 PM BDT,"Dhaka, BD",24.02,83,1006,haze,2.57,31.3,46.74,514.79,15.72,25.05,3,0
2026-05-01 10:52:06 PM BDT,"Dhaka, BD",24.02,88,1006,haze,2.06,30.11,43.43,480.96,13.63,27.01,3,0
2026-05-01 11:55:08 PM BDT,"Dhaka, BD",24.02,88,1006,overcast clouds,2.06,27.23,37.19,412.5,10.82,32.45,3,0
2026-05-02 01:04:56 AM BDT,"Dhaka, BD",24.02,88,1005,haze,1.54,22.8,29.43,310.19,6.71,43.97,2,0
2026-05-02 02:44:31 AM BDT,"Dhaka, BD",23.02,88,1005,haze,1.03,18.54,23.57,255.4,5.19,36.64,2,0
2026-05-02 03:48:18 AM BDT,"Dhaka, BD",24.02,88,1005,haze,4.12,16.71,21.25,242.1,5.08,32.15,2,0
2026-05-02 04:43:31 AM BDT,"Dhaka, BD",25.02,88,1005,haze,3.6,14.79,18.91,228.79,4.98,28.87,2,0
2026-05-02 05:45:51 AM BDT,"Dhaka, BD",24.02,88,1006,haze,2.06,12.67,16.47,215.29,4.81,26.69,2,0.0591
2026-05-02 08:13:05 AM BDT,"Dhaka, BD",27.02,83,1007,haze,3.09,9.01,12.8,200.09,4.51,24.28,1,3.896
2026-05-02 11:31:56 AM BDT,"Dhaka, BD",29.02,70,1005,haze,4.12,14.18,17.92,197.61,2.37,54.28,2,13.6557
2026-05-02 01:25:17 PM BDT,"Dhaka, BD",29.02,70,1003,haze,1.54,18.57,22.67,203.28,1.99,64.52,2,11.5503
2026-05-02 03:00:43 PM BDT,"Dhaka, BD",22.02,94,1002,heavy intensity rain,5.66,23.6,28.3,215.39,2.68,69.38,2,5.8735
2026-05-02 04:44:12 PM BDT,"Dhaka, BD",24.02,88,1003,haze,3.09,24.43,29.45,254.21,5.68,52.67,2,1.2396
2026-05-02 05:40:15 PM BDT,"Dhaka, BD",23.02,88,1004,haze,4.12,24.79,29.99,278.62,7.5,44.61,2,0.2263
2026-05-02 06:59:07 PM BDT,"Dhaka, BD",23.02,88,1004,haze,4.12,24.52,29.75,296.82,8.48,37.85,2,0
2026-05-02 08:11:18 PM BDT,"Dhaka, BD",23.02,88,1005,haze,4.12,13.64,17.69,228.74,5.88,31.06,2,0
2026-05-02 09:40:43 PM BDT,"Dhaka, BD",23.02,88,1006,haze,3.09,12.51,16.07,215.78,5.17,24.22,2,0
2026-05-02 10:40:19 PM BDT,"Dhaka, BD",23.02,88,1006,haze,2.57,11.85,15.48,204.06,4.7,22.55,2,0
2026-05-02 11:39:50 PM BDT,"Dhaka, BD",22.02,94,1006,haze,2.57,11.09,14.77,187.08,4.04,22.98,2,0
2026-05-03 12:51:56 AM BDT,"Dhaka, BD",22.02,94,1005,haze,2.57,10.67,15.16,169.89,3.29,25.3,2,0
2026-05-03 01:51:07 AM BDT,"Dhaka, BD",22.02,94,1005,haze,2.06,10.76,16.55,161.3,2.96,26.33,2,0
2026-05-03 02:35:52 AM BDT,"Dhaka, BD",22.02,94,1005,haze,1.54,11.18,18.96,157.67,2.81,27.16,2,0
2026-05-03 03:35:24 AM BDT,"Dhaka, BD",22.02,94,1005,haze,2.57,11.36,20.74,157.18,2.78,28.01,2,0
2026-05-03 04:34:43 AM BDT,"Dhaka, BD",22.02,94,1005,haze,2.57,10.49,19.76,157.72,2.84,28.12,2,0
2026-05-03 05:37:31 AM BDT,"Dhaka, BD",22.02,94,1006,haze,1.54,9.96,18.99,161.07,3.05,27.65,1,0.0394
2026-05-03 08:29:32 AM BDT,"Dhaka, BD",24.02,88,1008,haze,3.09,8.95,16.09,188.82,4.19,23.45,1,4.8382
2026-05-03 11:53:31 AM BDT,"Dhaka, BD",29.02,74,1007,haze,2.06,6.31,8.51,193.71,3.65,25.24,1,13.8655
2026-05-03 01:54:51 PM BDT,"Dhaka, BD",30.02,70,1005,haze,2.57,6.51,8,177.97,2.54,29.26,1,9.8829
2026-05-03 03:18:30 PM BDT,"Dhaka, BD",30.02,70,1004,haze,3.6,7.23,8.68,171.06,2.23,30.51,1,4.8382
2026-05-03 04:50:18 PM BDT,"Dhaka, BD",28.02,69,1003,haze,2.57,8.64,11.42,162.71,2.52,30.94,1,1.0129
2026-05-03 05:37:41 PM BDT,"Dhaka, BD",28.02,69,1005,haze,2.57,8.67,12.31,162.17,3.09,29.33,1,0.2655
2026-05-03 06:58:55 PM BDT,"Dhaka, BD",25.02,83,1006,haze,3.09,8.61,13.11,164.47,3.41,28.18,1,0
2026-05-03 08:12:16 PM BDT,"Dhaka, BD",25.02,83,1007,haze,2.57,7.69,11.38,176.81,3.9,29.06,1,0
2026-05-03 09:41:27 PM BDT,"Dhaka, BD",25.02,83,1008,haze,3.09,8.39,13.37,188.15,4.25,24.56,1,0
2026-05-03 10:42:02 PM BDT,"Dhaka, BD",24.02,88,1009,haze,3.09,8.5,13.8,189.65,4.29,23.34,1,0
2026-05-03 11:42:13 PM BDT,"Dhaka, BD",24.02,88,1008,haze,3.09,8.17,13.3,183.21,4.07,22.71,1,0
2026-05-04 12:52:35 AM BDT,"Dhaka, BD",24.02,88,1008,haze,3.09,7.64,12.44,177.75,3.93,21.37,1,0
2026-05-04 01:51:26 AM BDT,"Dhaka, BD",24.02,88,1008,haze,2.57,7.54,12.3,179.6,4.24,18.62,1,0
2026-05-04 02:37:12 AM BDT,"Dhaka, BD",24.02,88,1007,haze,2.06,7.53,12.3,182.51,4.56,16.16,1,0
2026-05-04 03:36:58 AM BDT,"Dhaka, BD",25.02,88,1008,haze,3.09,7.56,12.13,187.54,4.94,14.1,1,0
2026-05-04 04:35:24 AM BDT,"Dhaka, BD",25.02,88,1008,haze,3.09,7.7,11.91,194.87,5.37,12.26,1,0
2026-05-04 05:38:44 AM BDT,"Dhaka, BD",25.02,88,1009,haze,3.09,8.09,12.19,205.93,5.86,10.59,1,0.0393
2026-05-04 08:27:58 AM BDT,"Dhaka, BD",25.02,88,1011,haze,3.09,9.04,14.33,250.67,6.99,8.65,1,4.5901
2026-05-04 12:07:01 PM BDT,"Dhaka, BD",27.02,74,1010,haze,3.6,7.03,10.87,221.17,3.9,23.83,1,13.8589
2026-05-04 03:13:03 PM BDT,"Dhaka, BD",29.02,65,1007,haze,2.06,7.48,9.81,166.46,2.07,41.86,1,5.3371
2026-05-04 05:43:38 PM BDT,"Dhaka, BD",29.02,65,1005,haze,3.6,7.12,10.16,182.34,4.59,32.11,1,0.1868
2026-05-04 07:47:28 PM BDT,"Dhaka, BD",27.02,74,1008,haze,2.57,7.33,11.53,189.62,4.45,33.66,1,0
2026-05-04 09:57:28 PM BDT,"Dhaka, BD",26.02,78,1010,haze,1.54,7.24,12.88,208.96,5.37,19.77,1,0
2026-05-04 11:41:18 PM BDT,"Dhaka, BD",25.02,88,1010,haze,3.6,9.08,16.16,264.31,7.73,8.37,1,0
2026-05-05 01:22:02 AM BDT,"Dhaka, BD",25.02,88,1010,haze,1.54,9.66,16.46,278.78,8.02,5.27,1,0
2026-05-05 03:03:10 AM BDT,"Dhaka, BD",25.02,88,1009,haze,1.54,11.59,18.38,322.69,8.43,1.5,2,0
2026-05-05 04:52:49 AM BDT,"Dhaka, BD",23.02,94,1010,haze,3.09,12.85,18.66,349.25,8.19,0.79,2,0
2026-05-05 05:50:15 AM BDT,"Dhaka, BD",23.02,88,1011,haze,1.54,13.13,18.23,355.23,8.44,0.77,2,0.0983
2026-05-05 08:23:20 AM BDT,"Dhaka, BD",27.02,78,1011,haze,2.06,12.55,19.34,354.47,7.23,3.8,2,4.362
2026-05-05 11:38:12 AM BDT,"Dhaka, BD",31.02,66,1009,haze,3.6,4.21,6.38,172.25,2.83,26.56,1,13.8524
2026-05-05 02:01:45 PM BDT,"Dhaka, BD",31.02,62,1007,haze,2.06,3.02,4.37,152.21,2.03,37.34,1,9.6082
2026-05-05 04:41:37 PM BDT,"Dhaka, BD",29.02,65,1005,haze,3.6,3.98,6.65,200.56,5.41,29.13,1,1.2379
2026-05-05 05:56:51 PM BDT,"Dhaka, BD",28.02,69,1005,haze,3.09,5.21,9.01,237.32,8.19,24.06,1,0.1277
2026-05-05 07:53:22 PM BDT,"Dhaka, BD",26.02,78,1007,haze,1.03,12.83,19.9,291.34,9.98,28.63,2,0
2026-05-05 09:49:25 PM BDT,"Dhaka, BD",25.02,83,1008,haze,1.54,13.83,22.88,338.97,11.03,17.35,2,0
