time_local,city,temp_c,humidity,pressure,weather,wind_speed,air_pm2_5,air_pm10,air_co,air_no2,air_o3,air_aqi,uv_index
2026-01-01 12:23:37 AM BDT,"Dhaka, BD",14.56,65,1012,clear sky,2.07,132.74,151.64,872.2,15.97,34.38,5,0
2026-01-01 01:13:11 AM BDT,"Dhaka, BD",14.33,66,1013,clear sky,2.02,134.21,150.88,848.4,13.87,35.93,5,0
2026-01-01 02:17:59 AM BDT,"Dhaka, BD",14,67,1012,clear sky,2.01,137.09,152.79,841.01,12.21,34.5,5,0
2026-01-01 03:14:44 AM BDT,"Dhaka, BD",13.58,69,1012,clear sky,1.75,139.54,154.72,835.07,10.87,32.55,5,0
2026-01-01 04:16:31 AM BDT,"Dhaka, BD",13.38,69,1011,clear sky,2.05,141.6,156.53,831.47,9.8,29.85,5,0
2026-01-01 05:15:26 AM BDT,"Dhaka, BD",13.06,70,1012,clear sky,2.2,145.11,160.21,838.33,9.22,26.3,5,0
2026-01-01 07:25:17 AM BDT,"Dhaka, BD",12.02,94,1014,fog,0,154.01,171.01,896.07,10.75,18.73,5,0.1961
2026-01-01 09:46:24 AM BDT,"Dhaka, BD",13.02,94,1016,fog,1.54,154.1,169.19,820.95,7.92,75.19,5,2.9825
2026-01-01 10:43:19 AM BDT,"Dhaka, BD",14.02,94,1015,fog,2.06,154.19,168.41,775.65,6.01,98.03,5,4.5821
2026-01-01 11:23:22 AM BDT,"Dhaka, BD",18.02,77,1015,mist,2.06,154.19,168.41,775.65,6.01,98.03,5,5.3354
2026-01-01 12:26:47 PM BDT,"Dhaka, BD",20.02,68,1014,haze,2.06,157.54,171.58,763.35,4.44,118.51,5,5.3354
2026-01-01 01:19:15 PM BDT,"Dhaka, BD",24.03,39,1013,clear sky,2.77,119.64,128.58,593.9,2.12,139.09,5,4.5821
2026-01-01 02:23:03 PM BDT,"Dhaka, BD",22.02,64,1012,haze,2.06,103.17,110.72,525.8,1.78,142.98,5,2.7761
