time_local,city,temp_c,humidity,pressure,weather,wind_speed,air_pm2_5,air_pm10,air_co,air_no2,air_o3,air_aqi,uv_index
2026-06-01 01:16:07 AM BDT,"Dhaka, BD",29.02,74,1006,haze,3.6,18.9,25.02,216.29,5.28,33.07,2,0
2026-06-01 02:53:09 AM BDT,"Dhaka, BD",28.02,78,1006,haze,2.57,18.31,24.54,232.05,6.24,25.44,2,0
2026-06-01 03:55:23 AM BDT,"Dhaka, BD",28.02,78,1006,haze,2.57,17.99,24.32,240.72,6.67,22.25,2,0
2026-06-01 04:56:36 AM BDT,"Dhaka, BD",28.02,78,1006,haze,3.09,17.9,24.43,252.53,7.08,18.77,2,0
2026-06-01 06:04:38 AM BDT,"Dhaka, BD",28.02,78,1007,haze,2.06,18.1,25.04,268.72,7.47,15.33,2,0.2625
2026-06-01 11:57:21 AM BDT,"Dhaka, BD",35.02,63,1007,haze,2.57,16.33,21,185.03,1.16,87.9,2,14.1374
2026-06-01 05:36:18 PM BDT,"Dhaka, BD",34.02,52,1004,haze,2.06,15.75,19.36,221.56,4.39,72.84,2,0.4181
2026-06-01 11:27:57 PM BDT,"Dhaka, BD",31.02,62,1007,haze,1.54,27.24,33.8,321.78,8.78,40.4,3,0
2026-06-02 03:26:12 AM BDT,"Dhaka, BD",29.02,74,1006,haze,2.57,28.98,34.77,311.68,8.57,32.09,3,0
2026-06-02 05:23:17 AM BDT,"Dhaka, BD",28.02,78,1007,haze,2.57,30.77,37.15,314.4,8.74,29.08,3,0.0292
2026-06-02 09:29:50 AM BDT,"Dhaka, BD",31.02,74,1008,haze,5.66,38.02,48.06,343.11,6.52,38.77,3,8.7289
2026-06-02 02:23:09 PM BDT,"Dhaka, BD",36.02,49,1004,haze,1.03,32.08,36.21,242.45,1.38,111.96,3,8.7289
2026-06-02 06:36:29 PM BDT,"Dhaka, BD",33.02,58,1003,haze,3.09,35.5,40.88,296.78,5.39,95.69,3,0.0194
2026-06-02 11:16:35 PM BDT,"Dhaka, BD",30.14,64,1004,scattered clouds,4.98,30.56,38.04,285.89,6.51,52.8,3,0
2026-06-03 02:40:28 AM BDT,"Dhaka, BD",28.62,74,1003,clear sky,3.44,39.73,48.43,295.98,6.53,54.11,3,0
2026-06-03 04:58:05 AM BDT,"Dhaka, BD",28.09,78,1004,clear sky,3.35,43.55,53.76,307.98,6.86,53.25,3,0
2026-06-03 07:40:44 AM BDT,"Dhaka, BD",31.83,62,1005,few clouds,4.17,50.89,64.35,317.43,6.55,57.41,4,2.6141
2026-06-03 12:47:31 PM BDT,"Dhaka, BD",38.27,36,1002,few clouds,2.67,59.76,64.59,339.47,1.99,149.43,4,13.3619
2026-06-03 05:51:39 PM BDT,"Dhaka, BD",35.11,48,999,broken clouds,4.84,55.9,59.3,386.82,5.81,135.49,4,0.2235
2026-06-03 10:28:25 PM BDT,"Dhaka, BD",30.87,67,1003,few clouds,5.93,50.72,68.75,257.26,5.13,65.55,4,0
2026-06-04 02:14:28 AM BDT,"Dhaka, BD",30.1,66,1002,broken clouds,5,56.63,77.65,265.94,6.37,60.7,4,0
2026-06-04 05:01:38 AM BDT,"Dhaka, BD",28.93,73,1002,scattered clouds,3.6,62.49,83,306.07,7.41,57.27,4,0
2026-06-04 09:32:31 AM BDT,"Dhaka, BD",35.6,47,1003,clear sky,3.73,70.61,87.84,313.67,3.93,95.72,4,8.7242
2026-06-04 02:15:09 PM BDT,"Dhaka, BD",36.73,43,1000,overcast clouds,3.85,64.33,71.79,349.14,5.64,95.23,4,9.2489
2026-06-04 05:47:14 PM BDT,"Dhaka, BD",31.73,66,998,broken clouds,6,56.63,61.35,335.98,6.4,99.34,4,0.2623
2026-06-04 08:46:58 PM BDT,"Dhaka, BD",28.76,78,1002,few clouds,2.09,53.12,63.87,339.38,9.22,61.95,4,0
2026-06-04 11:41:21 PM BDT,"Dhaka, BD",29.02,71,1003,heavy intensity rain,2.54,51.95,64.97,327.15,8.52,52.3,4,0
2026-06-05 01:58:31 AM BDT,"Dhaka, BD",29.67,73,1002,overcast clouds,2.02,51.83,64.81,320.8,8.12,49.29,4,0
2026-06-05 03:43:45 AM BDT,"Dhaka, BD",29.15,78,1002,overcast clouds,2.3,52.8,66.89,335.03,8.72,45.07,4,0
2026-06-05 05:05:11 AM BDT,"Dhaka, BD",28.69,81,1002,overcast clouds,1.77,53.12,68.05,336.45,8.59,44.4,4,0
2026-06-05 08:54:33 AM BDT,"Dhaka, BD",32.61,62,1004,broken clouds,2.06,53.94,70.25,387.07,8.92,41.66,4,6.5852
2026-06-05 01:04:35 PM BDT,"Dhaka, BD",36.96,43,1001,light rain,2.42,50.67,60.22,335.33,5.6,61.85,4,12.7625
2026-06-05 05:22:16 PM BDT,"Dhaka, BD",37.75,39,999,broken clouds,3.45,46.22,52.67,303.02,6.2,63.53,3,0.6313
2026-06-05 08:37:43 PM BDT,"Dhaka, BD",29.07,71,1001,overcast clouds,2.28,54.4,66.03,377.81,9.36,51.04,4,0
2026-06-05 11:11:22 PM BDT,"Dhaka, BD",29.25,69,1002,overcast clouds,1.61,56.37,68.53,409.9,10.42,44.7,4,0
2026-06-06 01:47:11 AM BDT,"Dhaka, BD",29.11,71,1002,scattered clouds,1.89,57.56,68.24,446.36,11.77,34.08,4,0
2026-06-06 03:20:45 AM BDT,"Dhaka, BD",28.76,72,1002,broken clouds,2.48,57.68,67.72,459.73,12.14,31,4,0
2026-06-06 05:02:14 AM BDT,"Dhaka, BD",28.4,73,1002,broken clouds,2.37,58.35,67.42,499.8,13.62,22.51,4,0
2026-06-06 08:41:30 AM BDT,"Dhaka, BD",33.02,58,1005,scattered clouds,2.46,60.65,71.2,658.14,18.44,9.83,4,5.7971
2026-06-06 12:25:33 PM BDT,"Dhaka, BD",36.51,45,1003,few clouds,3.39,49.11,55.09,496.25,11.18,37.04,3,13.8664
2026-06-06 03:22:08 PM BDT,"Dhaka, BD",37.39,42,1000,broken clouds,3.48,39.83,42.57,327.43,4.72,66.71,3,5.2727
2026-06-06 05:20:47 PM BDT,"Dhaka, BD",36.04,47,999,moderate rain,3.36,38.46,41.64,328.31,6.18,61.31,3,0.6312
2026-06-06 07:21:01 PM BDT,"Dhaka, BD",33.49,56,1000,heavy intensity rain,4.26,38,44.63,275.92,5.3,77.76,3,0
2026-06-06 09:09:17 PM BDT,"Dhaka, BD",32.05,64,1003,light rain,6.05,43.32,51.17,269.53,5.23,69.96,3,0
2026-06-06 11:05:56 PM BDT,"Dhaka, BD",30.05,70,1004,broken clouds,6.08,44.07,49.33,265.24,5.31,63.15,3,0
2026-06-07 01:13:33 AM BDT,"Dhaka, BD",29.31,73,1003,broken clouds,2.12,39.71,42.37,267.84,5.73,56.39,3,0
2026-06-07 02:58:22 AM BDT,"Dhaka, BD",28.87,74,1002,broken clouds,2.41,36.93,39.17,316.26,8.32,43.86,3,0
2026-06-07 04:05:22 AM BDT,"Dhaka, BD",28.78,73,1003,overcast clouds,2.58,36.2,38.61,334.42,9.17,39.89,3,0
2026-06-07 05:59:38 AM BDT,"Dhaka, BD",29.13,74,1004,overcast clouds,1.45,34.92,37.65,344.53,8.96,39.31,3,0.2233
2026-06-07 10:45:17 AM BDT,"Dhaka, BD",35.56,49,1004,overcast clouds,3.81,26.99,31.02,353.93,7.85,33.53,3,12.5913
2026-06-07 02:20:41 PM BDT,"Dhaka, BD",36.67,43,1001,overcast clouds,3.05,24.75,28.18,314.84,6.26,45.34,2,8.9799
2026-06-07 05:04:58 PM BDT,"Dhaka, BD",31.19,68,1001,overcast clouds,8.01,24.58,26.82,268.7,5.11,68.18,2,0.9999
2026-06-07 07:41:36 PM BDT,"Dhaka, BD",28.13,78,1003,light rain,3.4,18.45,22.3,328.29,8.12,60.33,2,0
2026-06-07 09:20:18 PM BDT,"Dhaka, BD",27.67,80,1004,overcast clouds,3.98,19.75,23.75,312.86,7.31,59.54,2,0
2026-06-07 11:09:46 PM BDT,"Dhaka, BD",26.98,82,1004,overcast clouds,4.03,22.24,26.54,306.74,7.45,54.19,2,0
2026-06-08 01:14:20 AM BDT,"Dhaka, BD",27.1,82,1003,overcast clouds,5.14,24.58,28.88,330.61,9,44.44,2,0
2026-06-08 03:06:14 AM BDT,"Dhaka, BD",26.26,91,1002,overcast clouds,2.85,26.74,30.59,341.75,9.34,39.04,3,0
2026-06-08 04:59:24 AM BDT,"Dhaka, BD",27.27,87,1002,overcast clouds,2.66,27.26,30.35,337.19,8.98,38.11,3,0
2026-06-08 06:16:12 AM BDT,"Dhaka, BD",27.77,86,1003,overcast clouds,2.18,27.03,29.87,327.73,8.52,39.68,3,0.4174
2026-06-08 11:26:33 AM BDT,"Dhaka, BD",34.78,56,1002,broken clouds,4.75,25.73,29.02,272.29,6.6,54.61,3,13.7823
2026-06-08 04:27:00 PM BDT,"Dhaka, BD",34.29,52,999,overcast clouds,3.44,25.41,28.78,316.08,7.55,61.58,3,2.0868
2026-06-08 08:44:31 PM BDT,"Dhaka, BD",27.74,79,1002,broken clouds,4.15,25.83,29.9,294.27,6.44,59.94,3,0
2026-06-08 11:48:02 PM BDT,"Dhaka, BD",27.4,74,1002,broken clouds,4.94,26.09,30.71,286.24,6.63,55.72,3,0
2026-06-09 02:07:20 AM BDT,"Dhaka, BD",27.61,79,1001,overcast clouds,4.17,30.28,38.18,276.89,6.62,52.87,3,0
2026-06-09 04:21:41 AM BDT,"Dhaka, BD",27.55,84,1000,overcast clouds,2.88,38.15,53.13,272.93,6.65,50.54,3,0
2026-06-09 06:00:46 AM BDT,"Dhaka, BD",27.66,86,1001,overcast clouds,3.6,45.88,67.5,274.52,6.52,49.64,3,0.2232
2026-06-09 10:59:54 AM BDT,"Dhaka, BD",35.22,54,1002,overcast clouds,5.07,56.9,76.53,278.9,2.31,105.7,4,13.0515
2026-06-09 02:36:51 PM BDT,"Dhaka, BD",37.47,45,998,overcast clouds,6.66,47.72,54.64,259.25,2.75,103.65,3,7.9085
2026-06-09 05:56:24 PM BDT,"Dhaka, BD",33.25,62,998,light rain,7.49,47.56,59.72,255.34,4.36,80.32,3,0.2232
2026-06-09 08:46:31 PM BDT,"Dhaka, BD",26.79,79,1002,few clouds,5.49,47,56.5,353.55,8.46,59.6,3,0
2026-06-09 11:21:56 PM BDT,"Dhaka, BD",27.04,83,1001,light rain,3.16,52.36,66.79,328.81,6.97,56.99,4,0
2026-06-10 02:01:40 AM BDT,"Dhaka, BD",28.55,88,1001,overcast clouds,4.31,50.02,71.57,245.78,4.4,61.35,4,0
2026-06-10 04:19:30 AM BDT,"Dhaka, BD",28.32,89,1001,overcast clouds,4.21,45.5,68.02,233.54,4.26,59.53,3,0
2026-06-10 06:07:30 AM BDT,"Dhaka, BD",28.7,90,1002,overcast clouds,3.86,43.42,65.71,232.68,4.17,57.02,3,0.3105
2026-06-10 11:12:24 AM BDT,"Dhaka, BD",35.02,56,1003,scattered clouds,4.33,47.18,64.61,255.74,3,83.13,3,13.4659
2026-06-10 03:49:13 PM BDT,"Dhaka, BD",34.67,55,999,moderate rain,5.75,28.46,32.28,225.88,3.77,63.77,3,3.8419
2026-06-10 06:51:21 PM BDT,"Dhaka, BD",27.14,75,1002,overcast clouds,2.31,32.32,37.56,225.94,4.75,59.21,3,0
2026-06-10 10:30:38 PM BDT,"Dhaka, BD",27.01,73,1003,overcast clouds,3.6,26.79,32.51,273.37,6.67,55.9,3,0
2026-06-11 01:30:03 AM BDT,"Dhaka, BD",26.38,79,1003,overcast clouds,2.73,26.15,31.09,232.3,5.26,57.04,3,0
2026-06-11 03:54:30 AM BDT,"Dhaka, BD",26.58,85,1003,overcast clouds,2.99,25.42,30.27,218.12,5.05,55.22,3,0
2026-06-11 05:22:01 AM BDT,"Dhaka, BD",26.45,88,1003,overcast clouds,3.41,25,30.15,213.05,5.02,52.69,3,0.0291
2026-06-11 09:27:56 AM BDT,"Dhaka, BD",31.97,65,1006,scattered clouds,4.03,25.37,31.71,194.64,4.12,54.09,3,8.4485
2026-06-11 02:39:28 PM BDT,"Dhaka, BD",37.3,39,1001,overcast clouds,3.19,22.19,25.53,265.22,7.84,35.82,2,7.9053
2026-06-11 06:39:28 PM BDT,"Dhaka, BD",32.08,62,1002,few clouds,5.85,15.44,18.91,258.77,8.9,37.18,2,0.0194
2026-06-11 10:48:36 PM BDT,"Dhaka, BD",28.83,75,1006,clear sky,5.4,24.61,32.69,383.37,12.66,25.32,2,0
2026-06-12 01:31:02 AM BDT,"Dhaka, BD",27.49,83,1005,overcast clouds,2.33,13.02,17.43,237.01,7.13,34.23,2,0
2026-06-12 03:57:32 AM BDT,"Dhaka, BD",27.01,86,1005,overcast clouds,3.94,12.73,16.62,252.28,8.2,29.05,2,0
2026-06-12 05:23:11 AM BDT,"Dhaka, BD",26.61,87,1005,overcast clouds,4.39,13,16.81,257.15,8.28,27.8,2,0.0291
2026-06-12 09:27:01 AM BDT,"Dhaka, BD",31.38,65,1007,broken clouds,3.91,17.01,22.54,290.02,5.53,38.05,2,8.4468
2026-06-12 02:19:19 PM BDT,"Dhaka, BD",33.1,58,1004,overcast clouds,3.63,27.28,31.11,225.3,2.63,83.46,3,8.9705
2026-06-12 06:13:46 PM BDT,"Dhaka, BD",31.96,62,1003,heavy intensity rain,2.75,25.61,28.7,249.91,6.23,56.48,3,0.097
2026-06-12 10:13:00 PM BDT,"Dhaka, BD",27.9,77,1007,overcast clouds,4.16,23.61,27.41,243.01,6.59,45.99,2,0
2026-06-13 01:00:21 AM BDT,"Dhaka, BD",27.82,81,1006,overcast clouds,3.9,22.72,25.29,290.55,8.38,42.33,2,0
2026-06-13 03:26:49 AM BDT,"Dhaka, BD",27.22,86,1005,overcast clouds,3.49,25.81,28.9,372.51,12.62,23.97,3,0
2026-06-13 05:12:16 AM BDT,"Dhaka, BD",26.94,88,1005,overcast clouds,3.56,28.09,31.8,431.47,14.38,15.46,3,0
2026-06-13 08:53:25 AM BDT,"Dhaka, BD",30.31,70,1007,overcast clouds,4.66,30.31,37.41,497.89,14.24,14.65,3,6.3025
2026-06-13 12:55:10 PM BDT,"Dhaka, BD",34.58,52,1004,scattered clouds,3.67,19.23,21.95,233.08,3.35,79.09,2,13.0412
2026-06-13 03:53:59 PM BDT,"Dhaka, BD",34.04,53,1002,moderate rain,4.06,29.39,31.45,280.12,5.02,67.3,3,3.6166
2026-06-13 05:51:06 PM BDT,"Dhaka, BD",30.46,69,1002,light rain,4.67,32.09,34.01,290.74,6.26,61.56,3,0.2618
2026-06-13 07:49:04 PM BDT,"Dhaka, BD",28.25,78,1004,few clouds,4.99,17.19,19.83,255.25,6.25,67.44,2,0
2026-06-13 09:29:08 PM BDT,"Dhaka, BD",27.84,80,1004,few clouds,4.39,18.75,21.93,263.05,6.7,61.2,2,0
2026-06-13 11:17:33 PM BDT,"Dhaka, BD",27.84,82,1005,scattered clouds,4.18,21.65,25.66,269.27,7.56,49.28,2,0
