time_local,city,temp_c,humidity,pressure,weather,wind_speed,air_pm2_5,air_pm10,air_co,air_no2,air_o3,air_aqi,uv_index
2025-11-01 12:22:16 AM BDT,"Dhaka, BD",28.02,78,1009,haze,2.57,5.26,11.59,187.23,3.78,23.8,1,0
2025-11-01 01:11:27 AM BDT,"Dhaka, BD",28.02,78,1009,haze,2.06,5.04,10.71,174.64,3.27,23.53,1,0
2025-11-01 02:17:19 AM BDT,"Dhaka, BD",27.02,78,1008,haze,3.09,4.79,9.9,162.33,2.78,24.19,1,0
2025-11-01 03:12:55 AM BDT,"Dhaka, BD",27.02,83,1008,haze,2.06,4.63,9.36,152.3,2.41,25.61,1,0
2025-11-01 04:14:09 AM BDT,"Dhaka, BD",27.02,83,1008,haze,1.54,4.64,8.93,145.46,2.19,27.17,1,0
2025-11-01 05:13:49 AM BDT,"Dhaka, BD",27.02,83,1008,haze,2.57,4.79,8.78,142.5,2.13,27.67,1,0
2025-11-01 07:14:51 AM BDT,"Dhaka, BD",27.02,89,1010,haze,2.06,5.77,10.34,151.41,2.62,29.69,1,0.5082
2025-11-01 09:07:56 AM BDT,"Dhaka, BD",28.02,83,1011,haze,2.57,7.88,13.42,169.37,3.16,39.3,1,3.7912
2025-11-01 10:16:26 AM BDT,"Dhaka, BD",29.02,79,1011,haze,2.57,9.6,14.16,160.37,2.2,57.48,1,6.3321
2025-11-01 11:14:17 AM BDT,"Dhaka, BD",30.02,70,1010,haze,5.14,10.81,14.66,160.62,2.1,62.1,2,7.7246
2025-11-01 12:20:36 PM BDT,"Dhaka, BD",31.02,66,1008,haze,4.12,11.91,15.43,162.77,2.21,62.89,2,7.4502
2025-11-01 01:13:09 PM BDT,"Dhaka, BD",30.02,66,1007,haze,3.09,13.09,16.42,173.08,2.86,60.16,2,6.0679
2025-11-01 02:17:41 PM BDT,"Dhaka, BD",30.02,66,1006,haze,4.63,13.94,17.06,190.54,3.93,54.79,2,3.7912
2025-11-01 03:14:22 PM BDT,"Dhaka, BD",30.02,66,1005,haze,3.09,14.49,17.43,208.39,4.89,50.37,2,1.6974
2025-11-01 04:14:44 PM BDT,"Dhaka, BD",28.02,74,1005,haze,3.09,15.17,18.13,229.23,5.97,44.14,2,0.4371
2025-11-01 05:11:02 PM BDT,"Dhaka, BD",27.02,83,1006,moderate rain,3.09,16.15,19.28,255.02,7.24,37.19,2,0.0305
2025-11-01 06:27:30 PM BDT,"Dhaka, BD",26.02,94,1006,thunderstorm with rain,3.6,17.22,20.59,282,8.4,31.55,2,0
2025-11-01 07:20:16 PM BDT,"Dhaka, BD",26.02,94,1007,thunderstorm,4.63,13.01,17.6,283.65,8.76,31.18,2,0
2025-11-01 08:12:10 PM BDT,"Dhaka, BD",25.02,94,1008,thunderstorm with rain,4.12,15.37,21.73,321.96,9.79,24.52,2,0
2025-11-01 09:12:50 PM BDT,"Dhaka, BD",25.02,94,1008,drizzle,3.09,18.07,25.98,359.34,10.46,19.01,2,0
2025-11-01 10:15:51 PM BDT,"Dhaka, BD",25.02,94,1008,haze,3.09,20.78,29.93,391.06,10.8,14.39,2,0
2025-11-01 11:11:43 PM BDT,"Dhaka, BD",26.02,89,1008,haze,3.6,23.24,33,415.65,10.91,10.99,2,0
2025-11-02 12:19:02 AM BDT,"Dhaka, BD",26.02,89,1008,haze,1.54,25.26,34.37,426.18,10.81,8.68,3,0
2025-11-02 01:10:21 AM BDT,"Dhaka, BD",26.02,89,1008,haze,0,27.36,34.9,436.42,10.7,6.77,3,0
2025-11-02 02:14:09 AM BDT,"Dhaka, BD",25.02,94,1007,haze,0,29.7,36.12,449.54,10.67,5.06,3,0
2025-11-02 03:11:42 AM BDT,"Dhaka, BD",25.02,94,1007,haze,1.54,31.89,37.53,457.74,10.7,3.97,3,0
2025-11-02 04:12:52 AM BDT,"Dhaka, BD",25.02,94,1007,haze,1.03,34.2,39.2,465.11,10.87,3.49,3,0
2025-11-02 05:13:41 AM BDT,"Dhaka, BD",25.02,94,1008,haze,1.54,36.97,41.52,475.2,11.04,3.29,3,0
2025-11-02 07:15:39 AM BDT,"Dhaka, BD",25.02,94,1009,haze,2.06,42.95,48.14,508.19,11.54,2.94,3,0.5084
2025-11-02 09:11:56 AM BDT,"Dhaka, BD",26.02,83,1010,haze,2.57,52.42,59.1,584.84,13.28,6.41,4,3.7929
2025-11-02 10:18:31 AM BDT,"Dhaka, BD",27.02,78,1010,haze,2.57,55.44,59.53,578.19,15.11,20.94,4,6.3351
2025-11-02 11:14:41 AM BDT,"Dhaka, BD",27.02,78,1009,haze,2.57,52.37,55.93,564.09,13.74,31.94,4,7.4536
2025-11-02 12:21:22 PM BDT,"Dhaka, BD",27.02,78,1008,haze,3.09,52.89,56.34,558.45,12.35,45.66,4,7.4536
2025-11-02 01:13:31 PM BDT,"Dhaka, BD",27.02,78,1007,haze,3.09,56.26,59.39,551.29,9.68,68.34,4,6.0707
2025-11-02 02:17:16 PM BDT,"Dhaka, BD",28.02,74,1006,haze,3.09,60.03,62.76,528.71,6.9,90.31,4,3.5692
2025-11-02 03:13:31 PM BDT,"Dhaka, BD",28.02,74,1005,haze,2.57,63.82,66.33,507.9,5.45,105.12,4,1.6982
2025-11-02 04:14:09 PM BDT,"Dhaka, BD",27.02,78,1005,haze,3.6,65.54,68.85,501.38,5.79,93,4,0.4373
2025-11-02 05:11:05 PM BDT,"Dhaka, BD",26.02,83,1006,haze,2.06,65.74,70.73,512.61,7.81,69.2,4,0.0203
2025-11-02 06:27:16 PM BDT,"Dhaka, BD",26.02,83,1006,haze,2.06,64.85,71.66,527.03,9.82,53.37,4,0
2025-11-02 07:20:13 PM BDT,"Dhaka, BD",26.02,83,1008,haze,2.57,46.48,52.46,477.65,10.72,52.94,3,0
2025-11-02 08:12:26 PM BDT,"Dhaka, BD",25.02,88,1009,haze,2.57,46.71,54.06,496.67,11.41,46,3,0
2025-11-02 09:13:07 PM BDT,"Dhaka, BD",25.02,83,1009,haze,2.57,47.06,55.32,506.99,11.24,42.08,3,0
2025-11-02 10:16:13 PM BDT,"Dhaka, BD",25.02,83,1009,haze,2.57,47.08,55.74,505.72,10.54,39.86,3,0
2025-11-02 11:11:58 PM BDT,"Dhaka, BD",25.02,83,1009,haze,2.57,47.02,55.43,497.05,9.82,38.96,3,0
2025-11-03 12:18:18 AM BDT,"Dhaka, BD",24.02,88,1009,haze,2.06,46.21,53.67,474.95,8.98,39.49,3,0
