time_local,city,temp_c,humidity,pressure,weather,wind_speed,air_pm2_5,air_pm10,air_co,air_no2,air_o3,air_aqi,uv_index
2026-09-01 04:18:30 AM BDT,"Dhaka, BD",28.02,89,1002,heavy intensity rain,4.12,7.31,7.84,116.68,1.52,45.7,1,0
2026-09-01 07:32:57 AM BDT,"Dhaka, BD",28.02,89,1005,overcast clouds,3.6,7.19,8.41,125.09,1.79,46.55,1,1.4962
2026-09-01 01:07:01 PM BDT,"Dhaka, BD",27.02,94,1005,light rain,3.6,7.3,8.43,134.16,1.43,46.16,1,11.5559
2026-09-01 06:58:50 PM BDT,"Dhaka, BD",27.02,94,1005,light rain,2.57,9.06,10.59,164.87,3.07,39.22,1,0
2026-09-01 11:14:39 PM BDT,"Dhaka, BD",27.02,94,1006,overcast clouds,2.57,9.48,11.21,147.27,1.96,44.73,1,0
2026-09-02 02:25:10 AM BDT,"Dhaka, BD",27.02,94,1006,overcast clouds,3.09,9.32,10.19,138.97,1.68,39.69,1,0
2026-09-02 04:56:15 AM BDT,"Dhaka, BD",27.02,94,1005,overcast clouds,3.09,8,8.71,137.54,1.71,34.74,1,0
2026-09-02 06:48:14 AM BDT,"Dhaka, BD",27.02,94,1006,overcast clouds,3.6,7.55,8.79,149.41,2.33,31.94,1,0.4924
2026-09-02 11:21:51 AM BDT,"Dhaka, BD",28.02,83,1007,light rain,3.6,8.29,10.28,175.88,2.5,32.41,1,12.3987
2026-09-02 04:26:43 PM BDT,"Dhaka, BD",30.02,79,1003,light rain,4.12,9.57,11.34,192.11,3.5,37.1,1,1.4969
2026-09-02 08:54:05 PM BDT,"Dhaka, BD",27.02,89,1006,broken clouds,1.54,13.2,16.28,209.1,4.4,30.45,2,0
2026-09-03 12:21:28 AM BDT,"Dhaka, BD",27.02,89,1006,broken clouds,2.57,15.11,18.48,212.71,4.05,26.36,2,0
2026-09-03 03:30:46 AM BDT,"Dhaka, BD",26.02,94,1004,overcast clouds,3.6,12.59,14.16,182.61,2.74,30.93,2,0
2026-09-03 05:46:50 AM BDT,"Dhaka, BD",27.02,94,1005,overcast clouds,3.09,10.55,11.72,171.67,2.53,33.72,2,0.0197
2026-09-03 08:37:34 AM BDT,"Dhaka, BD",28.02,89,1006,light rain,3.6,11.53,13.91,180.16,3.12,41.11,2,4.3747
2026-09-03 01:39:40 PM BDT,"Dhaka, BD",30.02,79,1004,moderate rain,3.6,13.71,17.77,212.75,3.98,40.91,2,9.9021
2026-09-03 06:29:51 PM BDT,"Dhaka, BD",28.02,83,1003,broken clouds,1.54,11.23,12.91,178.72,3.76,40.84,2,0
2026-09-03 10:51:23 PM BDT,"Dhaka, BD",27.02,89,1006,few clouds,2.57,17.22,20.37,188.82,3.04,40.42,2,0
2026-09-04 01:34:45 AM BDT,"Dhaka, BD",27.02,89,1006,overcast clouds,3.09,17.58,20.23,169.46,2.39,37.81,2,0
2026-09-04 04:09:30 AM BDT,"Dhaka, BD",27.02,89,1005,broken clouds,3.09,16.69,18.67,160.53,2.15,39.21,2,0
2026-09-04 06:38:52 AM BDT,"Dhaka, BD",27.02,89,1007,broken clouds,2.06,15.88,18.46,174.43,3.06,33.58,2,0.3647
2026-09-04 11:22:34 AM BDT,"Dhaka, BD",30.02,79,1008,broken clouds,4.12,17.73,21.7,193.02,2.06,49.99,2,12.411
2026-09-04 04:24:44 PM BDT,"Dhaka, BD",32.02,62,1005,broken clouds,4.63,12.35,14.2,170.38,2.17,53.87,2,1.4984
2026-09-04 08:42:34 PM BDT,"Dhaka, BD",28.02,78,1008,overcast clouds,2.06,14.77,18.36,189.61,3.65,46.48,2,0
2026-09-04 11:59:39 PM BDT,"Dhaka, BD",28.02,89,1009,broken clouds,2.57,16.69,21.28,192.32,3.33,39.11,2,0
2026-09-05 02:39:29 AM BDT,"Dhaka, BD",28.02,89,1008,broken clouds,2.57,15.2,18.31,175.05,2.6,31.27,2,0
2026-09-05 04:43:50 AM BDT,"Dhaka, BD",27.02,94,1007,broken clouds,1.54,13.77,16.06,169.53,2.57,28.87,2,0
2026-09-05 06:34:01 AM BDT,"Dhaka, BD",27.02,94,1008,light rain,1.54,12.39,14.52,170.12,2.87,30.99,2,0.3156
