time_local,city,temp_c,humidity,pressure,weather,wind_speed,air_pm2_5,air_pm10,air_co,air_no2,air_o3,air_aqi,uv_index
2026-04-01 12:55:04 AM BDT,"Dhaka, BD",24.02,78,1010,haze,2.57,21.7,30.88,243.11,4.72,21.07,2,0
2026-04-01 01:52:35 AM BDT,"Dhaka, BD",25.02,83,1009,haze,2.06,21.4,30.42,229.02,4.16,19.55,2,0
2026-04-01 02:38:12 AM BDT,"Dhaka, BD",25.02,88,1009,haze,2.06,20.98,29.94,212.65,3.63,20.33,2,0
2026-04-01 03:34:23 AM BDT,"Dhaka, BD",25.02,88,1009,haze,2.57,20.89,29.84,203.51,3.34,20.4,2,0
2026-04-01 04:30:11 AM BDT,"Dhaka, BD",25.02,88,1009,haze,3.6,21.2,29.96,204.06,3.38,17.17,2,0
2026-04-01 05:29:06 AM BDT,"Dhaka, BD",25.02,88,1009,haze,2.57,21.2,29.96,204.06,3.38,17.17,2,0
2026-04-01 08:06:22 AM BDT,"Dhaka, BD",26.02,89,1011,haze,0,24.69,36.8,269.41,5.51,13.79,2,2.3203
2026-04-01 11:19:30 AM BDT,"Dhaka, BD",29.02,70,1011,haze,4.12,26.35,36.64,221.29,1.97,61.92,3,11.7416
2026-04-01 01:13:44 PM BDT,"Dhaka, BD",32.02,62,1008,haze,3.09,39.49,49.2,231.62,1.29,95.7,3,11.0515
2026-04-01 02:58:04 PM BDT,"Dhaka, BD",33.02,52,1006,haze,3.6,47.73,58.3,243.96,1.71,97.25,3,5.4307
2026-04-01 04:08:20 PM BDT,"Dhaka, BD",33.02,52,1005,haze,3.6,50.55,62.05,256.86,2.5,93.2,4,1.9803
2026-04-01 05:48:44 PM BDT,"Dhaka, BD",32.02,55,1005,haze,3.6,54.86,68.95,302.32,6.24,75.45,4,0.08
2026-04-01 07:09:53 PM BDT,"Dhaka, BD",30.02,66,1006,haze,2.57,55.87,71.28,322.41,6.93,69.54,4,0
2026-04-01 08:59:32 PM BDT,"Dhaka, BD",25.02,69,1008,broken clouds,6.69,47.57,64.89,268.63,3.91,66.93,3,0
2026-04-01 10:09:17 PM BDT,"Dhaka, BD",23.02,83,1008,thunderstorm,1.03,44.52,62.81,257.78,3.33,61.18,3,0
2026-04-01 11:48:29 PM BDT,"Dhaka, BD",25.02,78,1008,haze,2.57,38.92,56.09,232.29,2.75,54.42,3,0
2026-04-02 12:54:30 AM BDT,"Dhaka, BD",26.02,78,1008,haze,3.09,36.13,51.74,217.28,2.47,51.47,3,0
2026-04-02 01:55:15 AM BDT,"Dhaka, BD",26.02,78,1008,haze,2.57,33.92,48.27,208.79,2.33,47.96,3,0
2026-04-02 02:39:05 AM BDT,"Dhaka, BD",26.02,83,1008,haze,1.03,32.29,45.58,203.81,2.31,44.47,3,0
2026-04-02 03:36:56 AM BDT,"Dhaka, BD",24.02,83,1008,haze,1.03,31.15,43.56,201.11,2.38,41.43,3,0
2026-04-02 04:32:19 AM BDT,"Dhaka, BD",24.02,83,1008,haze,1.54,30.26,41.92,200.15,2.49,38.76,3,0
2026-04-02 05:32:08 AM BDT,"Dhaka, BD",23.02,88,1009,haze,1.03,29.63,40.72,201.85,2.7,36.32,3,0
2026-04-02 07:54:02 AM BDT,"Dhaka, BD",26.02,83,1010,haze,2.06,29.61,42.63,227.55,3.51,34.82,3,1.9792
2026-04-02 10:26:42 AM BDT,"Dhaka, BD",29.02,74,1011,haze,3.09,34.15,47.86,221.32,2.07,75.51,3,10.0458
2026-04-02 12:09:06 PM BDT,"Dhaka, BD",32.02,66,1009,haze,3.09,42.68,56.43,220.6,1.24,101.63,3,12.3749
2026-04-02 02:02:59 PM BDT,"Dhaka, BD",33.02,62,1007,haze,2.57,45.78,55.69,203.27,1.16,120.16,3,8.7064
2026-04-02 03:56:33 PM BDT,"Dhaka, BD",34.02,55,1005,haze,3.6,48.9,57.51,208.77,2.07,125.92,3,2.499
2026-04-02 04:50:19 PM BDT,"Dhaka, BD",33.02,55,1005,haze,3.6,50.47,59.4,220.78,3.19,121.17,4,0.8197
2026-04-02 05:41:25 PM BDT,"Dhaka, BD",32.02,58,1005,haze,4.12,49.18,58.97,229.45,4.36,110.05,3,0.1299
2026-04-02 07:01:55 PM BDT,"Dhaka, BD",31.02,62,1006,haze,3.6,44.71,55.95,230,4.53,93.84,3,0
2026-04-02 08:50:33 PM BDT,"Dhaka, BD",28.02,83,1007,haze,2.57,42.37,56.98,274.43,5.46,66.06,3,0
2026-04-02 09:56:13 PM BDT,"Dhaka, BD",28.02,83,1007,haze,2.57,35.21,49.62,232.33,3.94,59.76,3,0
2026-04-02 10:54:16 PM BDT,"Dhaka, BD",28.02,83,1007,haze,4.12,30.88,45.62,216.53,3.43,50.49,3,0
2026-04-02 11:45:49 PM BDT,"Dhaka, BD",28.02,83,1007,haze,2.57,27.96,42.16,201.01,3.01,45.48,3,0
2026-04-03 12:50:36 AM BDT,"Dhaka, BD",27.02,89,1008,haze,2.57,26.02,39.37,186.86,2.58,43.36,3,0
2026-04-03 01:45:59 AM BDT,"Dhaka, BD",27.02,89,1007,haze,3.09,25.02,37.86,178.86,2.34,42.78,3,0
2026-04-03 02:30:21 AM BDT,"Dhaka, BD",26.02,94,1007,haze,3.6,24.32,36.91,174.92,2.28,42.2,2,0
2026-04-03 03:32:07 AM BDT,"Dhaka, BD",26.02,89,1007,haze,3.6,23.84,36.17,175.02,2.42,38.79,2,0
2026-04-03 04:26:57 AM BDT,"Dhaka, BD",26.02,94,1007,haze,2.57,23.84,36.17,175.02,2.42,38.79,2,0
2026-04-03 05:29:55 AM BDT,"Dhaka, BD",26.02,89,1008,haze,3.6,23.59,35.96,178.65,2.73,33.86,2,0
2026-04-03 07:55:27 AM BDT,"Dhaka, BD",28.02,78,1010,haze,3.09,24.57,40.78,238.71,4.98,28.83,2,1.9781
2026-04-03 10:27:25 AM BDT,"Dhaka, BD",31.02,58,1010,haze,4.12,26.88,40.28,208.65,3.06,71.25,3,10.0403
2026-04-03 12:09:49 PM BDT,"Dhaka, BD",34.02,43,1008,haze,3.6,40.77,54.01,208.56,1.72,111.14,3,12.5779
2026-04-03 01:59:44 PM BDT,"Dhaka, BD",35.02,38,1005,haze,3.09,49.97,59.51,212.74,1.41,135.71,3,8.9713
2026-04-03 03:04:05 PM BDT,"Dhaka, BD",36.02,34,1004,haze,3.09,51.67,60.39,218.26,1.67,137.12,4,5.165
2026-04-03 04:37:44 PM BDT,"Dhaka, BD",35.02,46,1003,haze,1.03,57.57,67.27,267.34,4.79,119.97,4,1.1389
2026-04-03 05:33:56 PM BDT,"Dhaka, BD",33.02,62,1003,haze,2.57,58.83,69.73,296.9,7.24,106.43,4,0.1898
2026-04-03 06:53:33 PM BDT,"Dhaka, BD",31.02,70,1005,haze,4.63,56.57,68.91,312.81,8.04,91.78,4,0
2026-04-03 07:59:39 PM BDT,"Dhaka, BD",30.02,66,1005,haze,4.12,41.49,53.71,265.8,5.89,79.72,3,0
2026-04-03 08:53:04 PM BDT,"Dhaka, BD",31.02,66,1006,haze,4.63,35.7,48.59,246.61,4.82,69.39,3,0
2026-04-03 09:35:33 PM BDT,"Dhaka, BD",30.02,74,1006,haze,3.09,27.37,40.47,207.72,3.53,57.53,3,0
2026-04-03 10:34:35 PM BDT,"Dhaka, BD",29.02,79,1007,haze,4.12,22.14,35.42,188.27,3.18,46.87,2,0
2026-04-03 11:29:56 PM BDT,"Dhaka, BD",29.02,84,1007,haze,3.6,22.14,35.42,188.27,3.18,46.87,2,0
2026-04-04 12:39:15 AM BDT,"Dhaka, BD",28.02,89,1006,haze,3.09,18.03,30.57,165.81,2.68,36.96,2,0
2026-04-04 01:34:59 AM BDT,"Dhaka, BD",28.02,89,1006,haze,2.06,17.69,29.99,163.26,2.54,34.61,2,0
2026-04-04 02:30:47 AM BDT,"Dhaka, BD",27.02,89,1005,haze,4.63,17.92,29.89,164.75,2.54,32.74,2,0
2026-04-04 03:28:21 AM BDT,"Dhaka, BD",27.02,89,1005,haze,3.09,17.92,29.89,164.75,2.54,32.74,2,0
2026-04-04 04:28:02 AM BDT,"Dhaka, BD",27.02,89,1005,haze,3.09,18.56,30.22,169.7,2.67,31.58,2,0
2026-04-04 05:29:14 AM BDT,"Dhaka, BD",27.02,89,1006,haze,2.06,19.68,31.43,177.59,2.89,31.91,2,0
2026-04-04 07:48:40 AM BDT,"Dhaka, BD",27.02,89,1008,haze,2.06,25.8,39.51,225.98,4.23,39.07,3,1.8172
2026-04-04 10:12:54 AM BDT,"Dhaka, BD",30.02,70,1008,haze,1.54,48.62,62.92,280.9,3.54,88.44,3,9.5056
2026-04-04 11:53:41 AM BDT,"Dhaka, BD",31.02,70,1006,haze,3.09,84.63,98.86,326.12,2.18,141.08,5,12.5709
2026-04-04 12:54:34 PM BDT,"Dhaka, BD",32.02,66,1005,haze,1.54,79.35,90.74,284.19,1.58,149.36,5,11.7222
2026-04-04 01:45:41 PM BDT,"Dhaka, BD",32.02,66,1003,haze,1.54,67.78,76.74,245.73,1.29,143.28,4,9.7652
2026-04-04 02:35:22 PM BDT,"Dhaka, BD",33.02,58,1002,haze,2.06,62.72,70.69,233.54,1.34,140.71,4,6.7697
2026-04-04 03:33:05 PM BDT,"Dhaka, BD",34.02,52,1002,haze,1.03,62.37,71.1,250.2,2.89,126.09,4,3.7244
2026-04-04 04:27:53 PM BDT,"Dhaka, BD",34.02,52,1002,haze,1.54,62.37,71.1,250.2,2.89,126.09,4,1.3879
2026-04-04 05:25:20 PM BDT,"Dhaka, BD",33.02,52,1002,haze,1.54,63.89,74.52,289.08,6.08,112.83,4,0.2696
2026-04-04 06:42:57 PM BDT,"Dhaka, BD",32.02,55,1003,haze,0,64.69,79.9,370.1,10.74,89.28,4,0
2026-04-04 07:49:32 PM BDT,"Dhaka, BD",29.02,65,1004,haze,3.09,54.06,67.36,311.82,6.33,67.71,4,0
2026-04-04 08:29:07 PM BDT,"Dhaka, BD",29.02,65,1004,haze,3.09,54.06,67.36,311.82,6.33,67.71,4,0
2026-04-04 09:26:42 PM BDT,"Dhaka, BD",29.02,70,1005,haze,3.09,50.73,65.16,310.09,5.65,61.1,4,0
2026-04-04 10:29:20 PM BDT,"Dhaka, BD",29.02,74,1005,haze,3.6,46.73,61.72,294.71,4.66,56.59,3,0
2026-04-04 11:25:25 PM BDT,"Dhaka, BD",29.02,79,1005,haze,2.57,44.26,59.65,282.72,4,52.59,3,0
2026-04-05 12:34:46 AM BDT,"Dhaka, BD",28.02,83,1005,haze,3.09,42.9,56.98,251.81,2.7,50.51,3,0
2026-04-05 01:27:31 AM BDT,"Dhaka, BD",28.02,89,1005,haze,4.12,42.9,56.98,251.81,2.7,50.51,3,0
2026-04-05 02:24:30 AM BDT,"Dhaka, BD",28.02,89,1004,haze,3.6,45.11,58.42,249.92,2.53,50.48,3,0
2026-04-05 03:27:01 AM BDT,"Dhaka, BD",28.02,89,1004,haze,3.09,47.95,60.89,254.69,2.62,50.15,3,0
2026-04-05 04:24:10 AM BDT,"Dhaka, BD",27.02,89,1004,haze,2.57,51.15,64.1,266.42,2.9,48.9,4,0
2026-04-05 05:25:57 AM BDT,"Dhaka, BD",27.02,89,1005,haze,2.57,54.06,67.02,282.33,3.33,46.45,4,0
2026-04-05 08:01:15 AM BDT,"Dhaka, BD",28.02,83,1007,haze,2.06,65.53,81.18,376.61,6.1,41.7,4,2.3152
2026-04-05 11:07:24 AM BDT,"Dhaka, BD",31.02,48,1007,haze,6.69,58.93,68.3,333.17,3.59,101.48,4,11.7158
2026-04-05 12:59:30 PM BDT,"Dhaka, BD",30.02,42,1006,haze,6.69,31.29,36.39,259.51,2.72,105.4,3,11.7158
